## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
mp00083741,BENEFIT Go-Go Tint,"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,164.9,/product/benefit-go-go-tint-mp00083741,9917,0,,,,,,,,, ,,
mp00083738,Dior Dreamskin Advanced Duo (2*50ml),"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,202,/product/dior-dreamskin-advanced-duo--2-50ml--mp00083738,9988,180,,,,,,,,,,,
mp00083733,BENEFIT Boi-Ing Hydrate Concealer,"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,107,/product/benefit-boi-ing-hydrate-concealer-mp00083733,8984,0,,,,,,,,,,,
mp00083724,ESTÉE LAUDER Re-Nutriv | Ultra Radiance Serum Cushion SPF40/PA++++,"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,35.23,/product/est-e-lauder-re-nutriv---ultra-radiance-serum-cushion-spf40-pa-----mp00083724,9973,0,,,,,,,,,,,
mp00083722,TOM FORD BEAUTY Traceless Touch Foundation SPF 45/PA++++ Satin-Matte Cushion Compact (Refill),"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,23.27,/product/tom-ford-beauty-traceless-touch-foundation-spf-45-pa-----satin-matte-cushion-compact--refill--mp00083722,9962,0,,,,,,,,,,,
mp00083720,Benefit The Porefessional: Agent Zero Shine,"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,56.2,/product/benefit-the-porefessional--agent-zero-shine-mp00083720,9939,0,,,,,,,,,,,
mp00083718,theBalm Even Steven™ Foundation in Light/Medium,"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,114.4,/product/thebalm-even-steven--foundation-in-light-medium-mp00083718,9980,0,,,,,,,,,,,
mp00083707,CHANEL  LES TISSAGES DE CHANEL  BLUSH DUO TWEED EFFECT,"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,39,/product/chanel--les-tissages-de-chanel--blush-duo-tweed-effect-mp00083707,9994,0,,,,,,,,,,,
mp00083704,Nars Natural Radiant Longwear Cushion Foundation Empty Case,"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,133.5,/product/nars-natural-radiant-longwear-cushion-foundation-empty-case-mp00083704,9979,0,,,,,,,,,,,
mp00083703,Dior Forever 24H* Wear High Perfection Skin-Caring Foundation,"face-make-up,make-up,beauty",,https://changiairport.scene7.com/is/image/changiairportstage/isc_noimage,118,/product/dior-forever-24h--wear-high-perfection-skin-caring-foundation-mp00083703,9994,0,,,,,,,,,,,
